"IBaseEmitter [m]","VCollector []","Inegative(IC) [mA]"
1.5,6.5,150.00000000001
1.5,6.6,150.00000000001
1.5,6.7,150.00000000001
1.5,6.8,150.00000000001
1.5,6.9,150.00000000001
1.5,7,150.00000000001
1.5,7.1,150.00000000001
1.5,7.2,150.00000000001
1.5,7.3,150.00000000001
1.5,7.4,150.00000000001
1.5,7.5,150.00000000001
1.5,7.6,150.00000000001
1.5,7.7,150.00000000001
1.5,7.8,150.00000000001
1.5,7.9,150.00000000001
1.5,8,150.00000000001
1.5,8.1,150.00000000001
1.5,8.2,150.00000000001
1.5,8.3,150.00000000001
1.5,8.4,150.00000000001
1.5,8.5,150.00000000001
1.5,8.6,150.00000000001
1.5,8.7,150.00000000001
1.5,8.8,150.00000000001
1.5,8.9,150.00000000001
1.5,9,150.00000000001
1.5,9.1,150.00000000001
1.5,9.2,150.00000000001
1.5,9.3,150.00000000001
1.5,9.4,150.00000000001
1.5,9.5,150.00000000001
1.5,9.6,150.00000000001
1.5,9.7,150.00000000001
1.5,9.8,150.00000000001
1.5,9.9,150.00000000001
1.5,10,150.00000000001
2,0,-1.83246107614247
2,0.1,26.42402222457
2,0.2,87.1640796896693
2,0.3,151.648364870718
2,0.4,193.592813058004
2,0.5,199.82814408985
2,0.6,199.996468411357
2,0.7,199.999927949393
2,0.8,199.999998530269
2,0.9,199.999999970029
2,1,199.999999999399
2,1.1,199.999999999998
2,1.2,200.00000000001
2,1.3,200.00000000001
2,1.4,200.00000000001
2,1.5,200.00000000001
2,1.6,200.00000000001
2,1.7,200.00000000001
2,1.8,200.00000000001
2,1.9,200.00000000001
2,2,200.00000000001
2,2.1,200.00000000001
2,2.2,200.00000000001
2,2.3,200.00000000001
2,2.4,200.00000000001
2,2.5,200.00000000001
2,2.6,200.00000000001
2,2.7,200.00000000001
2,2.8,200.00000000001
2,2.9,200.00000000001
2,3,200.00000000001
2,3.1,200.00000000001
2,3.2,200.00000000001
2,3.3,200.00000000001
2,3.4,200.00000000001
2,3.5,200.00000000001
2,3.6,200.00000000001
2,3.7,200.00000000001
2,3.8,200.00000000001
2,3.9,200.00000000001
2,4,200.00000000001
2,4.1,200.00000000001
